=== TBL_CODE_LANG1 203~339행 ===
203: 파일=main.xml | 메뉴=메인 대시보드 (REST v1) | QueryID=None
279: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
280: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
281: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
282: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
283: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
284: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=selectItemOrderRegisterPopListInspectSeqV1
285: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=selectItemOrderRegisterPopListInspectSeqV1
286: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
287: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
288: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
289: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
290: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
291: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
292: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
293: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
294: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
295: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
296: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
297: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
298: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
299: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
300: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
301: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
302: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
303: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
304: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
305: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
306: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
307: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
308: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=selectInWarehouseManageOutListV1Count
309: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=selectInWarehouseManageOutListV1Count
310: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
311: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
312: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
313: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
314: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
315: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
316: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
317: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
318: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
319: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
320: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
321: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
322: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
323: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
324: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
325: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
326: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
327: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
328: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
329: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
330: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=selectInWarehouseManageListV1
331: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=selectInWarehouseManageListV1
332: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
333: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
334: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
335: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
336: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
337: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
338: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=None
339: 파일=material.xml | 메뉴=소재 관리 (REST v1) | QueryID=selectInWarehouseManageListV1Count

=== TBL_CODE1 36행 ===
파일=material.xml | 메뉴=소재 관리 > 내부 재고 | QueryID=selectInsideStockAbbrNm - D02/D01 자기 조인
